psiz,q1fit,meanfit,q2fit,maxfit,minfree,meanfree,maxfree,minmut,meanmut,maxmut,L,N,seed,U,R,K
10000,0.997007308816621,0.9970073088166203,0.997007308816621,0.997007308816621,-5.0,-5.0,-5.0,0.0,0.0,0.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.7524259610431576,0.8042153836033784,0.9446588009240139,0.9981143676948772,-5.8985669774955936,-4.499866878451212,-1.7963878720166973,0.0,5.0195,18.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.3224789242145126,0.6337684081817201,0.7752244509978201,0.9982481714263484,-6.277147121830711,-4.104740669186009,-0.7505347043726555,0.0,9.7273,24.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.1484387717804219,0.5199510227701603,0.5784934167545749,0.9977695180695996,-6.509784281074672,-3.83008431655783,-0.20508787517529645,3.0,14.1042,30.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.08022072526898473,0.45072564802049403,0.44548177876263695,0.9980341943140587,-6.658743942534916,-3.630781144743701,0.09220859437831994,5.0,18.1886,40.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.053947122367860895,0.39656661543450245,0.3422784289234261,0.9959477091670926,-6.797498656700757,-3.4875600631965216,0.31961718878438317,8.0,22.2054,47.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.031971682986323136,0.3588309782546015,0.27159382000644594,0.9945193550769075,-6.902568508260011,-3.3797435968296305,0.48421660669479505,10.0,26.0583,48.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.030283180683011307,0.3406914375818445,0.2506697551175247,0.993517731597104,-6.995023018133177,-3.3301657130914433,0.5479194576941386,12.0,29.7809,51.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.027145488791347004,0.32281030906384256,0.22128707845936488,0.9920064913556944,-7.101846605135988,-3.2715815652168545,0.5968358349282572,14.0,33.5198,59.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.02131708953544672,0.30640965649780244,0.19528900482880235,0.9876146132277103,-7.1567681601236375,-3.2241141708155965,0.6849793551077753,17.0,37.2048,72.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.018906179729380457,0.2979100937660337,0.1831280074715793,0.9888370198278629,-7.238156156943655,-3.197728722444156,0.7238054732290906,22.0,40.9512,75.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.016930079754141243,0.2927325575664308,0.1741322092365107,0.9883798411390288,-7.299632320446259,-3.197302394549648,0.7451876198370657,23.0,44.5466,81.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.018150675108020077,0.29031147655721895,0.17584845727540566,0.9890727014976691,-7.317687601600834,-3.187567260390641,0.755260269238533,25.0,48.3046,88.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.01700409835299107,0.290091178616521,0.1712640297723706,0.9933155392121639,-7.351880356197851,-3.1838951595420273,0.756085065619435,26.0,52.2289,81.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.014719875612339062,0.2854862667548522,0.16094534139165811,0.9885556622846545,-7.469529249515664,-3.1980866769149348,0.8003820217009782,32.0,56.2727,84.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.017726824409302698,0.2966515143328105,0.18175629341281685,0.9906497038051184,-7.558003376886196,-3.2445365267163497,0.7480158481718772,34.0,60.2145,91.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.016416170065739588,0.29174710272497395,0.17576936092058448,0.9899650551524077,-7.673652662635064,-3.266634276502744,0.7614710267051512,37.0,64.3032,94.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.017408121322571933,0.2918224768501992,0.17065280010180284,0.9904890573354266,-7.797314825410326,-3.2829800340512207,0.7410143845500416,40.0,68.3289,104.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.014508344323444368,0.2883363403797968,0.16812170270439208,0.9901620065299803,-7.869084661321068,-3.293683376729309,0.7801910157343777,43.0,72.4435,108.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.016334753678120303,0.29420957317711766,0.18011108996378977,0.9924103127443337,-7.969880492586533,-3.3365555031391487,0.7494818894167173,45.0,76.562,118.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.01841437651204291,0.2937430991685559,0.1785065298002163,0.9952396969210984,-8.09700670165752,-3.391040978320917,0.7379658498369823,49.0,80.7457,124.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.016809289428406878,0.29520321549621015,0.17796972360860347,0.9937576876998567,-8.160176007260313,-3.413397416428573,0.7591568645928695,52.0,84.8034,129.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.017717152918870518,0.297299540624717,0.18550451069940233,0.994487031721799,-8.234845780993531,-3.4482808511518757,0.7300704637608786,60.0,88.96,132.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.018199252905485554,0.2971361892762201,0.1836620365702195,0.9940885992202395,-8.287167145526377,-3.462002817662661,0.736812222803512,65.0,93.0779,132.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.018506702649007088,0.3046563161783224,0.19039416286038288,0.992213306522598,-8.433523759583121,-3.5216161053400197,0.717991203482655,67.0,97.389,135.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.01904190483646719,0.3116102582920068,0.19974083556204997,0.9942647210603649,-8.559792151661345,-3.57632573068607,0.6793125168869854,71.0,101.9144,141.0,0.0,10000,-2873813117404182536,5,9,10000
10000,0.02045791510167485,0.3077854874077757,0.19334399472380764,0.9938625110866329,-8.664978377702088,-3.604607169852314,0.7026175054616266,73.0,106.5389,147.0,0.0,10000,-2873813117404182536,5,9,10000
